AIY_adv	TUY_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio
1.5	148.5	3.8	3.5	8.1	141.9	5.1	4.1	6.6	0.0	0.0	0.0	301.6667
1.7	148.3	2.4	2.1	8.3	141.7	20.6	19.8	6.6	0.0	0.0	0.0	258.0
145.5	4.5	1.4	1.0	0.8	149.2	2.6	0.2	5.3	1.0	1.0	1.0	2.75
147.8	2.2	2.3	1.9	3.2	146.8	2.4	1.3	5.4	1.0	1.0	0.0	3.0
149.4	0.6	1.6	1.2	6.1	143.9	2.9	1.7	6.7	1.0	0.0	1.0	227.75
145.1	4.9	2.3	2.1	0.7	149.3	3.1	2.1	5.6	1.0	1.0	0.0	3.6667
146.9	3.1	1.8	1.5	2.6	147.4	1.9	0.8	5.7	1.0	1.0	1.0	2.75
2.2	147.8	5.3	4.9	8.1	141.9	5.5	4.4	5.9	0.0	0.0	0.0	223.75
144.2	5.8	1.8	1.1	0.2	149.8	1.5	0.3	6.0	1.0	1.0	1.0	2.0
147.0	3.0	2.8	2.2	2.1	147.9	1.9	0.7	5.1	1.0	1.0	0.0	1.8571
149.2	0.8	2.2	1.5	7.2	142.8	5.1	3.8	8.0	1.0	0.0	1.0	157.8333
145.4	4.6	1.9	1.4	1.2	148.8	1.5	0.4	5.8	1.0	1.0	1.0	2.75
147.1	2.9	4.1	0.6	1.1	148.9	2.3	1.3	4.0	1.0	1.0	1.0	0.3056
1.4	148.6	4.3	0.7	11.5	138.5	10.4	9.3	10.1	0.0	0.0	1.0	33.6667
147.8	2.2	3.4	3.1	1.9	148.1	3.1	2.2	4.1	1.0	1.0	0.0	2.3333
148.5	1.5	0.7	0.4	3.3	146.7	1.4	0.7	4.8	1.0	1.0	1.0	3.3333
1.4	148.6	2.9	2.6	7.6	142.4	4.3	3.3	6.2	0.0	0.0	0.0	290.6667
149.4	0.6	10.3	10.0	4.2	145.8	10.8	10.0	4.8	1.0	1.0	0.0	2.0
1.3	148.7	1.9	1.5	10.6	139.4	6.4	5.6	9.3	0.0	0.0	1.0	118.1429
148.1	1.9	3.7	3.3	2.5	147.5	3.6	2.8	4.4	1.0	1.0	0.0	1.1429
149.2	0.8	1.1	0.4	3.5	146.5	1.0	0.2	4.3	1.0	1.0	1.0	2.25
0.9	149.1	1.7	1.3	6.6	143.4	3.1	2.2	5.7	0.0	0.0	1.0	211.25
146.7	3.3	2.1	1.7	1.1	148.9	1.4	0.4	4.4	1.0	1.0	0.0	3.0
146.4	3.6	1.6	1.2	0.9	149.1	1.5	0.7	4.5	1.0	1.0	1.0	3.0
147.4	2.6	1.0	0.7	2.2	147.8	1.3	0.4	4.8	1.0	1.0	1.0	3.0
1.8	148.2	4.4	4.1	7.8	142.2	5.6	4.7	6.0	0.0	0.0	0.0	313.3333
146.7	3.3	1.4	0.9	0.8	149.2	1.4	0.7	4.1	1.0	1.0	1.0	1.6
147.4	2.6	2.0	1.8	0.6	149.4	2.4	1.8	3.2	1.0	1.0	0.0	2.0
148.5	1.5	2.0	1.8	1.8	148.2	2.3	1.8	3.3	1.0	1.0	0.0	3.5
146.9	3.1	24.5	23.9	150.0	0.0	20.7	19.5	3.1	1.0	1.0	0.0	1.2
2.6	147.4	5.7	5.2	9.6	140.4	9.6	9.0	7.0	0.0	0.0	0.0	303.6667
148.0	2.0	1.2	0.8	2.6	147.4	3.2	1.1	4.6	1.0	1.0	1.0	2.25
0.1	149.9	6.2	5.8	6.4	143.6	7.8	6.9	6.3	0.0	0.0	0.0	234.0
146.5	3.5	2.2	1.7	0.5	149.5	1.7	0.8	4.0	1.0	1.0	0.0	2.25
149.9	0.1	3.4	3.0	5.7	144.3	5.2	4.3	5.8	1.0	0.0	0.0	105.3333
145.2	4.8	2.3	2.0	0.8	149.2	2.1	1.0	5.6	1.0	1.0	0.0	2.75
145.5	4.5	4.1	3.6	2.3	147.7	4.5	3.2	6.8	1.0	1.0	0.0	2.0
148.5	1.5	3.0	2.4	4.6	145.4	2.3	1.1	6.1	1.0	1.0	0.0	1.8
144.9	5.1	1.7	1.1	0.9	149.1	1.6	0.4	6.0	1.0	1.0	1.0	1.5714
147.2	2.8	2.3	1.6	3.0	147.0	2.1	1.0	5.8	1.0	1.0	0.0	1.5714
148.8	1.2	1.6	0.9	5.1	144.9	2.1	1.0	6.3	1.0	0.0	1.0	195.2
149.7	0.3	22.1	21.7	3.5	146.5	20.4	19.6	3.8	1.0	1.0	0.0	1.75
145.7	4.3	3.8	3.5	0.3	149.7	3.7	2.8	4.6	1.0	1.0	0.0	2.5
150.0	0.0	4.3	3.9	7.2	142.8	6.9	5.9	7.2	1.0	0.0	0.0	321.0
146.3	3.7	3.2	2.8	0.7	149.3	3.5	2.7	4.4	1.0	1.0	0.0	3.0
147.8	2.2	1.5	1.2	2.3	147.7	1.6	0.7	4.5	1.0	1.0	1.0	6.0
1.1	148.9	2.4	2.0	7.5	142.5	5.2	3.4	6.4	0.0	0.0	0.0	296.6667
145.6	4.4	2.7	2.4	0.7	149.3	3.3	2.4	5.1	1.0	1.0	0.0	1.4286
146.9	3.1	1.3	0.6	1.9	148.1	1.2	0.2	5.0	1.0	1.0	1.0	1.1111
148.8	1.2	1.9	1.0	4.5	145.5	2.6	1.6	5.7	1.0	0.0	1.0	108.6667
149.0	1.0	11.0	10.5	2.8	147.2	6.8	5.1	3.8	1.0	1.0	0.0	2.6667
0.3	149.7	19.0	18.7	5.9	144.1	19.7	18.7	5.6	0.0	0.0	0.0	239.5
148.2	1.8	16.8	16.4	1.5	148.5	15.7	14.8	3.3	1.0	1.0	0.0	3.5
3.3	146.7	43.3	41.5	10.4	139.6	40.0	38.7	7.1	0.0	0.0	0.0	283.0
146.5	3.5	1.8	1.4	1.5	148.5	1.9	0.9	5.0	1.0	1.0	1.0	3.3333
149.4	0.6	2.9	2.6	6.0	144.0	3.2	2.2	6.6	1.0	0.0	0.0	302.3333
147.0	3.0	4.7	4.4	1.2	148.8	4.9	4.1	4.2	1.0	1.0	0.0	2.6667
0.4	149.6	1.0	0.7	4.8	145.2	3.6	2.8	4.4	0.0	0.0	1.0	287.3333
145.6	4.4	3.3	2.9	0.2	149.8	3.0	2.0	4.6	1.0	1.0	0.0	1.8
146.9	3.1	1.3	0.8	1.5	148.5	1.3	0.4	4.6	1.0	1.0	1.0	3.0
