AIY_adv	TUY_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio	month	day	hour
111.9	5.1	0.3	4.1	3.7	115.8	1.2	0.8	2.9	1.9	3.9	1.0	1.0	0.0	2.6667	01	01	15
111.6	5.4	0.3	1.7	1.5	116.5	0.5	0.9	3.4	2.7	4.9	1.0	1.0	1.0	3.0	01	01	15
107.9	4.2	0.4	67.7	67.1	0.5	99.5	0.9	8.9	7.4	4.7	1.0	1.0	0.0	2.25	01	01	15
95.1	4.9	0.5	114.5	113.9	99.5	0.5	0.9	114.2	113.3	4.4	1.0	1.0	0.0	1.8	01	01	15
3.0	97.0	0.5	10.3	10.0	12.0	88.0	64.0	14.8	14.0	9.0	0.0	0.0	0.0	128.0	01	01	15
3.2	96.8	0.3	28.4	27.8	10.5	89.5	53.5	25.3	23.7	7.3	0.0	0.0	0.0	178.3333	01	01	15
95.0	5.0	0.3	41.2	40.4	99.2	0.8	0.8	26.7	25.2	4.2	1.0	1.0	0.0	2.6667	01	01	15
97.5	2.5	0.4	12.5	12.0	2.5	97.5	0.9	6.2	4.7	5.0	1.0	1.0	0.0	2.25	01	01	15
96.6	3.4	0.4	6.6	6.2	1.5	98.5	1.0	6.7	5.8	4.9	1.0	1.0	0.0	2.5	01	01	15
96.4	3.6	0.4	18.6	18.3	1.3	103.7	1.0	30.7	29.2	4.9	1.0	1.0	0.0	2.5	01	01	15
97.3	2.7	0.3	18.0	17.7	2.5	102.5	1.1	18.0	16.8	5.2	1.0	1.0	0.0	3.6667	01	01	15
1.8	103.2	0.4	39.8	39.2	10.4	94.6	66.5	97.9	27.0	8.6	0.0	0.0	0.0	166.25	01	01	15
0.3	99.7	0.3	32.0	31.8	5.7	94.3	68.6	33.8	33.0	5.4	0.0	0.0	0.0	228.6667	01	01	16
98.2	1.8	0.4	23.2	22.8	2.9	97.1	0.9	23.1	22.2	4.7	1.0	1.0	0.0	2.25	01	01	16
2.9	97.1	0.3	20.6	20.3	9.8	90.2	52.2	23.3	22.4	6.9	0.0	0.0	0.0	174.0	01	01	16
0.7	99.3	0.3	45.2	44.7	4.5	95.5	0.7	38.0	35.9	3.8	0.0	1.0	0.0	2.3333	01	01	16
97.7	2.3	0.4	44.6	43.9	2.8	97.2	1.1	20.2	18.4	5.1	1.0	1.0	0.0	2.75	01	01	16
90.4	5.0	0.3	71.5	71.1	95.4	0.0	0.9	80.2	25.0	5.0	1.0	1.0	0.0	3.0	01	01	16
96.9	3.1	0.4	1.5	1.1	0.7	99.3	1.0	33.9	32.8	3.8	1.0	1.0	1.0	2.5	01	01	16
0.2	99.8	0.8	3.3	2.9	7.7	92.3	64.3	7.0	6.0	7.5	0.0	0.0	0.0	80.375	01	01	16
0.7	99.3	0.3	20.2	19.7	8.1	91.9	57.7	22.2	21.3	7.4	0.0	0.0	0.0	192.3333	01	01	16
99.8	0.2	0.3	27.1	26.7	3.1	96.9	0.6	22.0	20.7	3.3	1.0	1.0	0.0	2.0	01	01	16
94.8	5.2	0.3	15.5	15.1	99.4	0.6	0.9	5.0	3.5	4.6	1.0	1.0	0.0	3.0	01	01	16
97.2	2.8	0.9	7.4	7.0	1.9	98.1	0.9	7.6	6.7	4.7	1.0	1.0	0.0	1.0	01	01	17
92.0	3.0	0.4	48.0	47.4	1.1	98.9	0.7	21.1	19.1	4.1	1.0	1.0	0.0	1.75	01	01	17
98.5	1.5	0.4	9.3	9.1	3.3	96.7	1.0	6.4	5.0	4.8	1.0	1.0	0.0	2.5	01	01	17
0.4	104.6	0.4	11.5	11.2	7.6	97.4	69.1	8.1	6.7	7.2	0.0	0.0	0.0	172.75	01	01	17
91.4	3.6	0.2	25.7	25.2	94.7	0.3	0.6	17.7	15.9	3.3	1.0	1.0	0.0	3.0	01	01	17
91.4	3.6	0.3	5.6	5.3	0.2	99.8	0.7	5.9	5.2	3.8	1.0	1.0	0.0	2.3333	01	01	17
95.7	4.3	0.3	28.8	28.3	0.0	100.0	0.8	21.0	19.2	4.3	1.0	1.0	0.0	2.6667	01	01	17
94.4	5.6	0.3	24.3	23.7	98.7	1.3	0.8	17.6	15.4	4.3	1.0	1.0	0.0	2.6667	01	01	17
93.3	1.7	0.2	7.3	7.0	1.5	103.5	0.7	6.5	5.8	3.2	1.0	1.0	0.0	3.5	01	01	17
